doc,topic1,topic2,topic3,topic4,topic5,topic6,catogory
256,0.360732727,0.273321354,0.010394257,0.066693313,0.279794189,0.009064159,2
257,0.451452678,0.011532874,0.171076398,0.253693541,0.098943133,0.013301376,0
258,0.685187393,0.011532874,0.015253255,0.253693541,0.021031561,0.013301376,4
259,0.207147518,0.038597836,0.051049085,0.327549382,0.070387728,0.305268451,0
260,0.080774663,0.015050758,0.833322141,0.026046888,0.027446841,0.017358709,3
261,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,0
262,0.047188652,0.068192504,0.605627431,0.193416124,0.07543431,0.010140978,0
263,0.346541513,0.010699276,0.014150748,0.596757115,0.019511398,0.012339951,4
264,0.034789654,0.006482363,0.490288819,0.449141411,0.011821357,0.007476397,4
265,0.68995442,0.287060817,0.00504123,0.006596431,0.006950972,0.004396131,1
266,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,1
267,0.207147518,0.038597836,0.311800933,0.066797534,0.070387728,0.305268451,0
268,0.29213034,0.007462803,0.009870223,0.315409763,0.013609305,0.361517566,3
269,0.067124603,0.01250734,0.016542074,0.106139926,0.360787358,0.436898699,5
270,0.467899367,0.038597836,0.051049085,0.327549382,0.070387728,0.044516602,1
271,0.207147518,0.299349685,0.051049085,0.066797534,0.070387728,0.305268451,2
272,0.028540404,0.005317939,0.330366639,0.619943711,0.009697892,0.006133416,4
273,0.491101741,0.010699276,0.37555132,0.090796314,0.019511398,0.012339951,3
274,0.467899367,0.038597836,0.051049085,0.327549382,0.070387728,0.044516602,1
275,0.080774663,0.015050758,0.019905971,0.737786037,0.129123862,0.017358709,4
276,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,1
277,0.207147518,0.038597836,0.311800933,0.327549382,0.070387728,0.044516602,0
278,0.555140965,0.021656735,0.028642966,0.183783623,0.039493622,0.171282088,0
279,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
280,0.089917173,0.129939657,0.022159036,0.594921879,0.143738794,0.019323461,4
281,0.307524305,0.025368217,0.033551732,0.043902314,0.560395137,0.029258294,2
282,0.586437688,0.040910896,0.001555818,0.367593669,0.0021452,0.001356728,1
283,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,0
284,0.268820117,0.008299671,0.010977056,0.014363437,0.015135434,0.682404284,3
285,0.207147518,0.038597836,0.051049085,0.588301231,0.070387728,0.044516602,4
286,0.556171345,0.000841841,0.416275201,0.024205484,0.001535197,0.000970933,1
287,0.484287559,0.018892656,0.024987225,0.415589822,0.034452997,0.021789741,1
288,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,0
289,0.307524305,0.539501405,0.033551732,0.043902314,0.04626195,0.029258294,2
290,0.788519974,0.006210395,0.008213802,0.178567711,0.011325392,0.007162725,1
291,0.408836554,0.021656735,0.028642966,0.330088035,0.185798034,0.024977676,4
292,0.525405487,0.279609525,0.013196876,0.017268062,0.153011908,0.011508141,0
293,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,1
294,0.549607212,0.056773399,0.005174473,0.006770778,0.192148253,0.189525886,1
295,0.240486985,0.460342174,0.06008123,0.232779522,0.003865414,0.002444675,2
296,0.16561268,0.659712323,0.018068791,0.023642944,0.024913691,0.108049572,0
297,0.418432564,0.447517142,0.000774325,0.001013201,0.040619134,0.091643634,2
298,0.408836554,0.021656735,0.028642966,0.476392446,0.039493622,0.024977676,4
299,0.662077354,0.247084684,0.009396492,0.060291287,0.012956113,0.008194072,2
300,0.650279763,0.025368217,0.033551732,0.215280044,0.04626195,0.029258294,1
301,0.281926759,0.003538304,0.004679723,0.07783358,0.627940751,0.004080883,5
302,0.207147518,0.038597836,0.311800933,0.066797534,0.331139576,0.044516602,5
303,0.467899367,0.038597836,0.311800933,0.066797534,0.070387728,0.044516602,0
304,0.320608659,0.01250734,0.608004871,0.021645241,0.022808616,0.014425272,0
305,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,1
306,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,4
307,0.408836554,0.021656735,0.028642966,0.183783623,0.332102445,0.024977676,0
308,0.262532143,0.021656735,0.028642966,0.037479212,0.039493622,0.610195322,3
309,0.12970117,0.299819733,0.014150748,0.379916772,0.164071626,0.012339951,2
310,0.274261398,0.155259505,0.158710977,0.163076429,0.019511398,0.229180294,4
311,0.207147518,0.038597836,0.051049085,0.327549382,0.331139576,0.044516602,1
312,0.03914959,0.003229518,0.004271326,0.94373541,0.005889409,0.003724747,4
313,0.681678586,0.261951906,0.01236348,0.016177567,0.017047069,0.010781391,2
314,0.207147518,0.038597836,0.311800933,0.066797534,0.070387728,0.305268451,0
315,0.356093977,0.372925243,0.001400053,0.080496068,0.144956071,0.044128589,2
316,0.405103345,0.01250734,0.016542074,0.021645241,0.445282043,0.098919957,1
317,0.654725184,0.002318869,0.018732283,0.301655104,0.004228733,0.018339827,4
318,0.207147518,0.038597836,0.051049085,0.066797534,0.331139576,0.305268451,5
319,0.019942832,0.003715952,0.506984915,0.458294051,0.006776478,0.004285772,0
320,0.113319654,0.767159845,0.01236348,0.07932856,0.017047069,0.010781391,2
321,0.207147518,0.038597836,0.051049085,0.066797534,0.070387728,0.566020299,0
322,0.164304751,0.030614935,0.247313485,0.4666273,0.055829962,0.035309567,4
323,0.207147518,0.038597836,0.311800933,0.327549382,0.070387728,0.044516602,1
324,0.650279763,0.025368217,0.033551732,0.215280044,0.04626195,0.029258294,1
325,0.611918937,0.018892656,0.024987225,0.287958444,0.034452997,0.021789741,4
326,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
327,0.57794975,0.030614935,0.040490985,0.2598048,0.055829962,0.035309567,1
328,0.207147518,0.560101534,0.051049085,0.066797534,0.070387728,0.044516602,0
329,0.54015981,0.281566621,0.008966152,0.057530073,0.01236275,0.099414594,2
330,0.316287918,0.016754284,0.022159036,0.028995015,0.483294913,0.132508834,5
331,0.207147518,0.038597836,0.311800933,0.066797534,0.331139576,0.044516602,5
332,0.439515405,0.00551611,0.007295548,0.531251681,0.01005928,0.006361975,4
333,0.40276612,0.006779241,0.054764049,0.423913246,0.103958543,0.007818801,4
334,0.277870064,0.028703459,0.497036744,0.150413085,0.043695312,0.002281337,0
335,0.37112725,0.030614935,0.040490985,0.4666273,0.055829962,0.035309567,4
336,0.207147518,0.299349685,0.311800933,0.066797534,0.070387728,0.044516602,0
337,0.319261973,0.00751153,0.105968984,0.021305142,0.499034315,0.046918056,5
338,0.792513811,0.015050758,0.019905971,0.127723909,0.027446841,0.017358709,3
339,0.057421055,0.155259505,0.014150748,0.524477,0.236351741,0.012339951,4
340,0.442617363,0.185013885,0.028236995,0.099107919,0.134478909,0.110544929,1
341,0.608553096,0.001157939,0.173628235,0.048939412,0.025579378,0.14214194,4
342,0.894190832,0.015050758,0.019905971,0.026046888,0.027446841,0.017358709,1
343,0.047188652,0.840390346,0.011629092,0.015216622,0.07543431,0.010140978,2
344,0.136146576,0.025368217,0.033551732,0.729413231,0.04626195,0.029258294,4
345,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,4
